country,country_code,year,spei_12,drought,electricity_generation,hydro_electricity,wind_electricity,solar_electricity,biofuel_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,fossil_electricity,net_elec_imports,net_elec_imports_share_demand,hydro_share,wind_share,solar_share,biofuel_share,nuclear_share,coal_share,gas_share,oil_share,fossil_share
France,FRA,2016,-0.7236,False,558.84,60.84,21.38,8.66,7.52,403.2,10.23,34.97,11.44,56.64,-41.5,-8.022,0.10886837019540477,0.038257819769522576,0.015496385369694367,0.013456445494238063,0.7214945243719132,0.01830577625080524,0.06257605039009376,0.02047097559229833,0.10135280223319733
France,FRA,2015,-1.6831,True,574.14,55.56,21.42,7.75,6.53,437.43,11.89,21.14,11.84,44.87,-64.06,-12.559,0.09677082244748668,0.03730797366495977,0.013498449855435957,0.011373532587870555,0.7618873445501098,0.020709234681436584,0.03682028773469886,0.020622147908175705,0.07815167032431114
France,FRA,2014,0.0537,False,566.31,63.77,17.32,6.39,5.99,436.48,11.26,13.16,11.38,35.8,-67.19,-13.462,0.11260616976567606,0.030583955783934597,0.011283572601578641,0.010577245678162138,0.7707439388320886,0.01988310289417457,0.02323815578040296,0.020095000971199522,0.06321625964577705
France,FRA,2013,0.5481,False,576.75,71.92,16.14,5.19,5.68,423.68,23.84,18.39,11.41,53.64,-48.46,-9.173,0.1246987429562202,0.02798439531859558,0.008998699609882966,0.009848287819679237,0.7345990463805808,0.04133506718682271,0.03188556566970091,0.01978326831382748,0.09300390117035111
France,FRA,2012,-0.168,False,567.58,59.83,15.18,4.43,5.3,425.41,21.46,22.75,12.71,56.92,-44.52,-8.511,0.10541245287007998,0.026745128440043692,0.007805067127101025,0.009337890693822896,0.7495154868036223,0.0378096479791395,0.04008245533669262,0.022393319003488496,0.10028542231932062
France,FRA,2011,-1.4783,True,567.65,45.74,12.37,2.33,5.04,442.39,17.39,29.49,12.36,59.24,-56.41,-11.034,0.08057782084030653,0.021791596934730907,0.00410464194486039,0.00887871047300273,0.7793358583634282,0.03063507442966617,0.05195102616048621,0.021773980445697172,0.10436008103584957
France,FRA,2010,-0.4598,False,562.36,61.2,9.94,0.62,4.44,428.52,23.36,23.76,10.04,57.16,-30.71,-5.776,0.10882708585247884,0.017675510349242477,0.0011024966213813215,0.007895298385375915,0.7620029874101998,0.04153922754107689,0.042250515683903554,0.01785333238494914,0.10164307560992958
France,FRA,2009,-0.9756,False,528.87,55.49,7.91,0.17,4.13,409.74,21.67,20.5,8.81,50.98,-25.93,-5.156,0.10492181443454913,0.014956416510673701,0.00032144005143040826,0.007809102425926976,0.7747461569005616,0.04097415243821734,0.038761888554843346,0.016658157959422923,0.09639419895248359
France,FRA,2008,0.565,False,566.98,62.16,5.69,0.04,3.97,439.45,23.06,21.88,10.26,55.2,-47.99,-9.247,0.10963349677237291,0.010035627358989736,7.05492257222477e-05,0.007002010652933084,0.7750714310910437,0.04067162862887579,0.03859042647006949,0.018095876397756533,0.09735793149670183
France,FRA,2007,0.0316,False,561.84,55.99,4.07,0.02,3.75,439.73,24.45,21.99,11.37,57.81,-56.81,-11.249,0.09965470596611134,0.007244055247045422,3.559732308130428e-05,0.006674498077744553,0.7826605439270967,0.04351772746689449,0.039139256727894055,0.020237078171721483,0.10289406236651004
France,FRA,2006,-0.6555,False,567.3,54.88,2.18,0.01,3.38,450.19,22.89,21.76,11.55,56.2,-63.34,-12.568,0.09673893883306893,0.0038427639696809453,1.7627357659086906e-05,0.005958046888771373,0.7935660144544333,0.04034902168164992,0.03835713026617311,0.020359598096245376,0.09906575004406841
France,FRA,2005,-1.4211,True,569.14,50.14,0.96,0.01,3.39,451.53,27.51,23.07,12.05,62.63,-60.33,-11.857,0.08809783181642479,0.0016867554555996768,1.75703693291633e-05,0.005956355202586359,0.7933548863197104,0.04833608602452824,0.04053484204237973,0.021172295041641778,0.11004322310854975
United Kingdom,GBR,2023,1.8637,False,292.53,5.54,82.15,13.88,34.1,40.6,3.78,101.66,10.82,116.26,23.3,7.377,0.01893822855775476,0.2808258981984754,0.047448124978634675,0.1165692407616313,0.13878918401531468,0.012921751615218953,0.3475199124876081,0.03698765938536219,0.3974293234881893
United Kingdom,GBR,2022,-0.7631,False,324.58,5.66,80.21,13.34,35.85,47.4,5.94,125.11,11.07,142.12,-4.3,-1.343,0.017437919773245426,0.24711935424240555,0.04109926674471625,0.11045042824573295,0.1460348758395465,0.018300573048246966,0.38545196869800974,0.03410561340809662,0.43785815515435333
United Kingdom,GBR,2021,-0.1456,False,307.9,5.42,64.93,12.13,40.01,46.1,6.79,122.84,9.68,139.31,24.74,7.437,0.017603117895420593,0.21088015589477108,0.03939590776226048,0.1299447872685937,0.14972393634296852,0.022052614485222475,0.3989607015264697,0.031438778824293606,0.45245209483598575
United Kingdom,GBR,2020,1.1444,False,310.3,6.88,75.62,12.55,38.58,50.24,5.7,111.89,8.84,126.43,18.25,5.555,0.02217209152433129,0.24369964550435064,0.04044473090557525,0.12433129229777634,0.1619078311311634,0.018369320012890752,0.36058652916532385,0.028488559458588462,0.4074444086368031
United Kingdom,GBR,2019,0.7746,False,327.19,5.93,63.84,12.42,37.54,56.18,6.92,133.09,11.26,151.27,21.17,6.077,0.018124025795409393,0.19511598765243438,0.037959595342155934,0.11473455790213637,0.17170451419664415,0.021149790641523274,0.4067667104740365,0.03441425471438614,0.4623307558299459
United Kingdom,GBR,2018,-0.8033,False,333.76,5.44,56.91,12.67,35.11,65.06,16.83,131.49,10.24,158.56,19.11,5.416,0.016299137104506235,0.17051174496644295,0.03796140939597316,0.10519534995206137,0.19493048897411314,0.05042545541706615,0.39396572387344203,0.03068072866730585,0.475071907957814
United Kingdom,GBR,2017,0.0508,False,338.22,5.88,49.65,11.46,31.9,70.34,22.53,136.75,9.71,168.99,14.76,4.182,0.017385133936491038,0.14679794216781974,0.033883271243569275,0.09431730826089527,0.20797114304298978,0.0666134468689019,0.4043226302406717,0.028709124238661225,0.49964520134823487
United Kingdom,GBR,2016,0.0472,False,339.18,5.37,37.16,10.41,30.07,71.73,30.67,143.13,10.64,184.44,17.75,4.973,0.015832301432867502,0.10955834660062502,0.030691668140810188,0.08865499144996757,0.21148062975411286,0.0904239636771036,0.4219883247833009,0.03136977416121234,0.5437820626216168
United Kingdom,GBR,2015,0.8806,False,338.87,6.3,40.27,7.53,29.26,70.34,75.88,99.88,9.41,185.17,21.11,5.864,0.01859120016525511,0.11883613184997198,0.022220910673709682,0.08634579632307375,0.20757222533714995,0.22392067754596157,0.2947442972231239,0.027768760881754066,0.5464337356508395
United Kingdom,GBR,2014,1.5361,False,338.08,5.89,31.95,4.05,22.62,63.75,100.24,100.89,8.69,209.82,20.52,5.722,0.017421911973497396,0.09450425934690014,0.011979413156649315,0.06690724088973024,0.18856483672503552,0.29649787032654995,0.2984204921911974,0.025703975390440132,0.6206223379081874
United Kingdom,GBR,2013,-0.4544,False,358.28,4.7,28.4,2.01,18.1,70.61,130.26,95.84,8.36,234.46,14.43,3.872,0.013118231550742437,0.07926761192363514,0.005610137322764318,0.0505191470358379,0.19708049570168584,0.3635703918722787,0.26750027911130964,0.023333705481746122,0.6544043764653344
United Kingdom,GBR,2012,1.8232,False,363.87,5.31,19.84,1.35,14.74,70.41,142.79,100.17,9.26,252.22,11.86,3.157,0.014593123917882759,0.05452496770824745,0.0037101162503091764,0.04050897298485723,0.1935031742105697,0.3924203699123313,0.2752906257729409,0.02544864924286146,0.6931596449281336
United Kingdom,GBR,2011,-0.1139,False,367.97,5.69,15.96,0.24,13.31,68.98,108.44,146.5,8.85,263.79,6.22,1.662,0.015463217110090497,0.04337310106802185,0.0006522270837296518,0.036171427018506945,0.18746093431529745,0.2946979373318477,0.39813028235997494,0.02405087371253091,0.7168790934043536
United Kingdom,GBR,2010,-1.1072,True,382.06,3.59,10.29,0.04,12.26,62.14,107.59,175.65,10.5,293.74,2.66,0.691,0.00939642988012354,0.026932942469769145,0.00010469559755012302,0.032089200649112706,0.1626446107941161,0.2816049835104434,0.45974454274197774,0.02748259435690729,0.7688321206093284
United Kingdom,GBR,2009,0.7866,False,376.76,5.23,9.28,0.02,10.71,69.1,103.04,166.5,12.88,282.42,2.86,0.753,0.013881516084510034,0.024631064868882047,5.308419152776303e-05,0.028426584563117106,0.18340588172842126,0.27348975475103515,0.44192589446862723,0.034186219343879394,0.7496018685635418
United Kingdom,GBR,2008,1.1962,False,388.96,5.14,7.13,0.02,9.65,52.49,124.38,176.22,13.93,314.53,11.02,2.755,0.013214726450020567,0.018330933772110244,5.141916906622789e-05,0.02480974907445496,0.13494960921431512,0.31977581242287123,0.45305429864253394,0.035813451254627725,0.8086435623200329
United Kingdom,GBR,2007,0.1313,False,396.81,5.08,5.27,0.01,9.32,63.03,135.94,165.79,12.37,314.1,5.21,1.296,0.012802096721352789,0.01328091529951362,2.520097779793856e-05,0.023487311307678737,0.15884176306040673,0.34258209218517677,0.4178070109120234,0.031173609536049997,0.7915627126332502
United Kingdom,GBR,2006,-0.3502,False,397.27,4.59,4.22,0.01,9.28,75.45,148.85,140.83,14.04,303.72,7.52,1.858,0.01155385506078989,0.010622498552621642,2.5171797518060767e-05,0.02335942809676039,0.18992121227376849,0.3746822060563345,0.3544944244468498,0.03534120371535731,0.7645178342185417
United Kingdom,GBR,2005,-0.5719,False,398.35,4.92,2.9,0.01,9.1,81.62,134.64,152.64,12.52,299.8,8.32,2.046,0.012350947659093761,0.007280030124262583,2.5103552152629598e-05,0.02284423245889293,0.20489519266976278,0.33799422618300484,0.3831806200577381,0.031429647295092254,0.7526044935358354
Italy,ITA,2023,-1.3111,True,261.55,40.52,23.59,30.71,16.01,0.0,13.22,119.02,12.79,145.03,51.25,16.384,0.15492257694513478,0.0901930797170713,0.11741540814375837,0.06121200535270503,0.0,0.05054482890460715,0.45505639457082775,0.048900783788950485,0.5545020072643854
Italy,ITA,2022,-2.6639,True,280.17,28.4,20.49,28.12,17.61,0.0,22.61,141.47,15.63,179.71,42.99,13.303,0.10136702716208015,0.07313416854052895,0.10036763393653853,0.06285469536352928,0.0,0.08070100296248706,0.5049434272049113,0.055787557554342004,0.6414319877217404
Italy,ITA,2021,-1.5001,True,285.49,45.39,20.93,25.04,19.06,0.0,14.02,144.01,11.13,169.16,42.79,13.035,0.15898980699849383,0.07331255035202634,0.08770885144838698,0.06676240849066517,0.0,0.04910855021191635,0.5044309783179796,0.038985603698903644,0.5925251322287995
Italy,ITA,2020,-1.3144,True,276.81,47.55,18.76,24.94,19.62,0.0,13.38,133.7,12.83,159.91,32.2,10.42,0.17177847621111952,0.06777211805931867,0.09009790108738847,0.07087894223474586,0.0,0.048336404031646255,0.48300278169141286,0.04634948159387305,0.5776886673169321
