,country,year,month,event_type,price_std_mean_diff_percentage,renew_share_diff
17,DE,2021,5,low_solar,-46.732947726391195,-13.001063748391879
18,DE,2021,8,low_solar,-22.86624272761747,-1.1966949211268343
19,DE,2022,4,low_solar,-1.0330948255296364,14.359570100581685
20,DE,2022,11,low_solar,125.4236423509106,-21.01740049042952
21,DE,2023,3,low_solar,-30.471909561477297,-13.180685722337103
22,DE,2023,8,low_solar,-26.43223795105391,-17.959174903005398
23,FI,2019,2,low_solar,-19.13601928234898,-4.8161895779051775
24,FI,2019,3,low_solar,-32.05467468590557,-4.110048040360532
25,FI,2019,5,low_solar,-25.256086350554753,-1.2983518247562245
26,FI,2019,11,low_solar,62.915331492423775,1.2565506381575915
27,FI,2019,12,low_solar,-41.250521681721274,-2.379911006434675
28,FI,2020,3,low_solar,21.04117602884072,-2.0027667710739223
29,FI,2020,7,low_solar,-26.99847883233427,1.5910426801734587
30,FI,2021,5,low_solar,39.88320338802669,5.63458992660577
31,FI,2021,8,low_solar,-18.277572252174938,2.701737377127472
32,FI,2021,9,low_solar,-22.90774258102998,0.04903526515510492
33,FI,2021,10,low_solar,44.99436700807251,-1.7794830760310987
34,FI,2022,1,low_solar,-12.999157933236333,-4.337688475460645
35,FI,2022,6,low_solar,-22.072359959855486,1.7923801955055723
36,FI,2022,9,low_solar,-1.7344448256086966,-7.444308604963446
37,FI,2022,10,low_solar,-40.728336158432796,-0.9360275779858469
38,FI,2022,11,low_solar,42.30022156108334,-7.979503720102798
39,FI,2023,1,low_solar,-21.590855056294554,2.0131112062785235
40,FI,2024,3,low_solar,-27.630568182193088,-0.16437691179562108
41,FI,2024,7,low_solar,37.83708622688814,-2.4333156303053585
42,FI,2024,8,low_solar,114.0798281986499,-6.701282718949685
43,PL,2019,5,low_solar,-31.177751539024275,0.7502297835443645
44,PL,2020,1,low_solar,30.317149049909702,-2.118240327372181
45,PL,2020,6,low_solar,8.405789511411388,-2.16949679535154
46,PL,2020,10,low_solar,22.876885228856956,-0.2816830915173725
47,PL,2021,4,low_solar,9.511095613228763,-3.036982267515162
48,PL,2021,8,low_solar,-20.965359003534914,-1.0653590918022289
49,PL,2021,9,low_solar,34.901613535845335,-3.207277577494157
50,PL,2022,1,low_solar,0.4733914826395342,0.6366428273759368
51,PL,2023,3,low_solar,-6.462798092318329,-4.083912483370916
52,PL,2023,10,low_solar,-14.547684247929812,-19.495778635677752
53,PL,2023,11,low_solar,-11.6332318480587,-6.0840239164502385
54,PL,2024,2,low_solar,45.28531344502523,10.273885544900619
55,PL,2024,10,low_solar,-10.775445031697153,-4.950155067246516
0,CZ,2019,1,low_soil,-2.21636692029773,-0.30512884509865046
1,CZ,2019,2,low_soil,41.025493020724205,0.2618788186407368
2,CZ,2019,3,low_soil,-5.962262679095728,-0.404401937447183
3,CZ,2019,4,low_soil,39.94747647954117,2.035631641797078
4,CZ,2019,6,low_soil,29.387024319221116,1.1873517079293983
5,CZ,2019,7,low_soil,-18.84329259175761,-1.142337612039185
6,CZ,2019,8,low_soil,21.00622518865433,0.9683796102080553
7,CZ,2019,9,low_soil,-9.457232262171159,-0.5758999051069402
8,CZ,2019,10,low_soil,6.034492322916507,-0.8235497255123541
9,CZ,2019,11,low_soil,-7.92705131429449,-0.4371615166494607
10,CZ,2020,4,low_soil,-34.68633837677107,-2.225000419399599
